feature,coef
Foundation_Slab,0.0016009385347294665
Foundation_other,0.0
Heating_GasA,0.0
Heating_GasW,0.021779113489753112
Heating_other,-0.015258152172668642
GarageType_Attchd,-0.0
GarageType_Basment,-0.01775575386011249
GarageType_BuiltIn,0.003200487209824778
GarageType_Detchd,0.008685856482076811
GarageType_No Garage,0.023950323788562374
GarageType_other,-0.07042747761409678
MiscFeature_None,0.0
MiscFeature_Shed,0.0
MiscFeature_other,-0.0
SaleType_COD,-0.00056121660079938
SaleType_New,0.01328966505752338
SaleType_WD,-0.024266766463599477
SaleType_other,0.027518018427527973
SaleCondition_Abnorml,-0.0755289596038544
SaleCondition_Family,-0.06208487262414506
SaleCondition_Normal,0.0
SaleCondition_Partial,0.01721478070866248
SaleCondition_other,0.0
